scene;video;px;m;px/m;m/px
bookstore;video0;663.4;24.85;26.696177062374243;0.037458546879710584
bookstore;video1;624.2;24.85;25.11871227364185;0.03981095802627363
bookstore;video2;569.2;23.17;24.56624946050928;0.040706254392129305
bookstore;video3;601.2;24.59;24.44896299308662;0.040901530272787756
bookstore;video4;778.0;27.66;28.127259580621836;0.03555269922879178
bookstore;video5;514.2;15.7;32.7515923566879;0.03053286658887592
bookstore;video6;690.4;21.48;32.141527001862194;0.03111239860950174
coupa;video0;1318.6;41.11;32.07492094380929;0.03117700591536478
coupa;video1;1553.2;41.96;37.01620591039085;0.027015194437290755
coupa;video2;1013.0;27.17;37.28376886271623;0.0268213228035538
coupa;video3;966.1;26.95;35.847866419294995;0.027895662974847323
deathCircle;video0;421.9;17.54;24.053591790193842;0.041573832661768194
deathCircle;video1;435.2;17.54;24.811858608893957;0.040303308823529414
deathCircle;video2;426.3;17.54;24.304446978335235;0.04114473375557119
deathCircle;video3;601.8;17.54;34.310148232611176;0.02914589564639415
deathCircle;video4;442.7;17.54;25.23945267958951;0.03962051050372713
gates;video0;1033.8;42.07;24.573330164012358;0.04069452505320178
gates;video1;936.8;36.32;25.79295154185022;0.03877028181041845
gates;video2;690.0;25.26;27.31591448931116;0.036608695652173916
gates;video3;952.8;33.38;28.544038346315155;0.035033585222502106
gates;video4;752.7;33.38;22.549430796884362;0.04434701740401222
gates;video5;952.2;33.38;28.52606351108448;0.03505566057550935
gates;video6;685.1;22.89;29.930100480559197;0.03341118084951102
gates;video7;1537.3;65.9;23.327769347496204;0.04286736486046966
gates;video8;916.2;42.18;21.721194879089616;0.04603798297314996
hyang;video0;812.3;28.17;28.835640752573656;0.03467930567524314
hyang;video1;618.0;28.17;21.938232161874332;0.045582524271844664
hyang;video2;1038.7;57.69;18.004853527474435;0.055540579570617116
hyang;video3;712.6;43.38;16.426924850161363;0.060875666573112545
hyang;video4;811.5;28.17;28.80724174653887;0.03471349353049908
hyang;video5;926.9;28.17;32.90379836705715;0.030391628007336285
hyang;video6;515.1;28.17;18.285410010649628;0.054688410017472336
hyang;video7;796.1;28.17;28.260560880369187;0.035385001884185405
hyang;video8;853.0;29.77;28.653006382264024;0.034900351699882766
hyang;video9;914.0;31.67;28.86011998736975;0.03464989059080963
hyang;video10;1069.4;58.38;18.317917094895513;0.05459135964092014
hyang;video11;668.1;37.16;17.979009687836385;0.05562041610537344
hyang;video12;498.1;28.97;17.19364860200207;0.05816101184501104
hyang;video13;372.2;20.2;18.425742574257427;0.05427189682966147
hyang;video14;648.8;27.99;23.17970703822794;0.04314118372379778
little;video0;681.2;19.94;34.16248746238716;0.029271873165002935
little;video1;812.0;23.04;35.24305555555556;0.0283743842364532
little;video2;521.3;15.53;33.567289117836445;0.029790907347017073
little;video3;684.4;19.94;34.322968906720156;0.02913500876680304
nexus;video0;660.0;29.58;22.312373225152133;0.04481818181818181
nexus;video1;936.4;41.85;22.375149342891277;0.04469243912857753
nexus;video2;893.0;38.43;23.237054384595368;0.04303471444568869
nexus;video3;573.6;26.96;21.275964391691396;0.04700139470013947
nexus;video4;602.8;28.0;21.52857142857143;0.04644990046449901
nexus;video5;930.2;43.53;21.36917068688261;0.046796387873575575
nexus;video6;779.1;29.58;26.33874239350913;0.0379668848671544
nexus;video7;1365.9;51.52;26.512034161490682;0.03771872025770554
nexus;video8;723.3;38.43;18.821233411397344;0.053131480713396934
nexus;video9;858.8;38.43;22.34712464220661;0.04474848625989753
nexus;video10;603.2;26.96;22.373887240356083;0.04469496021220159
nexus;video11;1087.8;48.73;22.32300430946029;0.04479683765398051
quad;video0;1591.4;68.58;23.20501603966171;0.04309413095387708
quad;video1;1609.4;68.91;23.355100856189235;0.042817198956132715
quad;video2;1581.5;68.6;23.05393586005831;0.04337654125829908
quad;video3;1560.5;68.64;22.73455710955711;0.04398590195450176
